id, trial, trialtype, trial_time, act_olf, wolf
HAGHISH,1,1,6970,C,S
HAGHISH,2,1,2509,B,0
HAGHISH,3,1,3268,H,D
HAGHISH,1,1,4158,B,0
HAGHISH,2,1,2575,C,L
123456,1,1,10428,A,A
123456,2,1,12178,H,A
123456,3,1,10198,I,A
123456,4,0,5016,0,0
123456,5,1,8251,A,A
123456,6,1,924,G,A
234567,1,1,33,A,0
234567,2,1,33,A,0
234567,3,1,33,A,0
234567,4,1,33,A,0
234567,5,1,33,A,0
234567,6,1,33,A,0
234567,7,0,15016,0,0
234567,8,1,33,A,0
234567,9,1,33,A,0
234567,10,0,15016,0,0
234567,11,1,33,A,0
234567,12,0,11783,0,0
234567,13,1,33,A,0
234567,14,1,33,A,0
234567,15,1,33,A,0
234567,16,0,15015,0,0
234567,17,1,33,A,0
234567,18,1,33,A,0
234567,19,0,15016,0,0
234567,20,0,15016,0,0
234567,21,1,33,A,0
234567,22,1,33,A,0
234567,23,1,33,A,0
234567,24,1,33,A,0
234567,25,1,33,A,0
234567,26,1,33,A,0
234567,27,1,33,A,0
234567,28,0,15016,0,0
234567,29,1,33,A,0
234567,30,0,15017,0,0
234567,31,1,33,A,0
234567,32,0,15016,0,0
234567,33,0,15018,0,0
234567,34,1,33,A,0
234567,35,1,33,A,0
234567,36,1,33,A,0
234567,37,0,15016,0,0
234567,38,1,33,A,0
234567,39,1,33,A,0
234567,40,1,33,A,0
234567,41,1,33,A,0
234567,42,1,33,A,0
234567,43,1,33,A,0
234567,44,1,33,A,0
234567,45,1,33,A,0
234567,46,1,33,A,0
234567,47,1,33,A,0
234567,48,1,33,A,0
234567,49,1,33,A,0
234567,50,0,15016,0,0
234567,51,0,15016,0,0
234567,52,1,33,A,0
234567,53,1,33,A,0
234567,54,1,33,A,0
234567,55,1,33,A,0
234567,56,0,15016,0,0
234567,57,1,33,A,0
234567,58,0,15016,0,0
234567,59,0,15016,0,0
234567,60,1,33,A,0
234567,61,0,15015,0,0
234567,62,1,33,A,0
234567,63,0,15016,0,0
234567,64,1,33,A,0
234567,65,1,33,A,0
234567,66,0,15015,0,0
234567,67,1,33,A,0
234567,68,1,33,A,0
234567,69,1,33,A,0
234567,70,1,33,A,0
234567,71,1,33,A,0
234567,72,1,33,A,0
234567,73,0,15016,0,0
234567,74,1,33,A,0
234567,75,1,33,A,0
234567,76,0,15016,0,0
234567,77,1,33,A,0
234567,78,1,33,A,0
234567,79,0,15016,0,0
234567,80,0,15016,0,0
234567,81,1,33,A,0
234567,82,1,33,A,0
234567,83,0,15015,0,0
234567,84,0,15016,0,0
234567,85,1,33,A,0
234567,86,0,2805,0,0
234567,87,0,5083,0,A
234567,88,1,33,A,0
234567,89,1,33,A,0
234567,90,1,33,A,0
234567,91,0,15016,0,0
234567,92,1,33,A,0
234567,93,1,33,A,0
234567,94,1,33,A,0
234567,95,1,33,A,0
234567,96,0,15016,0,0
234567,97,1,33,A,0
234567,98,1,33,A,0
234567,99,0,15017,0,0
234567,100,1,33,A,0
234567,101,1,33,A,0
234567,102,1,33,A,0
234567,103,1,33,A,0
234567,104,1,33,A,0
234567,105,1,33,A,0
234567,106,1,33,A,0
234567,107,1,33,A,0
234567,108,1,33,A,0
234567,109,0,15017,0,0
234567,110,1,33,A,0
234567,111,1,33,A,0
234567,112,1,33,A,0
TEST,61,0,15019,0,0
TEST,62,1,15016,J,0
TEST,63,0,15016,0,TEST,1,1,12475,E,O
TEST,2,1,15016,F,0
TEST,3,1,2806,C,O
TEST,4,1,6996,K,O
TEST,5,1,15016,A,0
TEST,6,1,2706,H,O
TEST,7,0,15016,0,0
TEST,8,1,15015,G,0
TEST,9,1,2442,C,0
TEST,10,0,5446,0,I
TEST,11,1,5511,D,D
TEST,12,0,15015,0,0
TEST,13,1,7656,J,J
TEST,14,1,15015,J,0
TEST,15,1,1056,I,I
TEST,16,0,15015,0,0
TEST,17,1,15015,D,0
TEST,18,1,15016,H,0
TEST,19,0,15016,0,0
TEST,20,0,15015,0,0
TEST,21,1,2739,J,0
TEST,22,1,15016,B,0
TEST,23,1,15016,C,0
TEST,24,1,5940,F,0
TEST,25,1,6138,J,0
GERIT,1,1,15018,G,G
GERIT,2,1,15017,E,0
GERIT,3,1,11947,A,A
GERIT,4,1,15020,G,0
GERIT,5,1,10529,G,G
GERIT,6,1,1354,H,0
GERIT,7,0,15016,0,0
GERIT,8,1,3268,D,0
GERIT,9,1,5578,B,B
GERIT,10,0,15016,0,0
GERIT,11,1,6668,D,D
GERIT,12,0,15016,0,0
GERIT,13,1,6139,B,B
GERIT,14,1,4224,B,0
GERIT,15,1,10857,B,B
GERIT,16,0,15016,0,0
GERIT,17,1,15017,F,0
GERIT,18,1,11817,H,H
GERIT,19,0,15018,0,0
GERIT,20,0,15018,0,0
GERIT,21,1,12607,B,0
GERIT,22,1,15018,D,0
GERIT,23,1,15018,F,0
GERIT,24,1,2642,B,0
GERIT,25,1,12178,D,0
